O,N,Nome Campo,Field Name,TIPO (format),NULL,"Valori ammessi – codifica (permited values – coding)","Descrizione (description)",NOTES,BOX2M
43,35,climatizzazione Invernale,Winter air conditioning,character varying(2),no,"SI NO",SONO AMMESSI SOLO I 2 VALORI TESTUALI RIPORTATI NELLA COLONNA A FIANCO,OK,
44,36,produzione acs (acqua calda sanitaria),DHW production (domestic hot water),character varying(2),no,"SI NO",SONO AMMESSI SOLO I 2 VALORI TESTUALI RIPORTATI NELLA COLONNA A FIANCO,OK,
45,37,combustibile,fuel,character varying(50),no,"GPL Gas naturale Gasolio Altro (testo libero)",SONO AMMESSI SOLO I 4 VALORI TESTUALI RIPORTATI NELLA COLONNA A FIANCO,OK,
46,38,evacuazione_fumi,smoke evacuation,character varying(10),no,"Naturale Forzata",SONO AMMESSI SOLO I 2 VALORI TESTUALI RIPORTATI NELLA COLONNA A FIANCO,OK,
47,39,depressione,depression,integer,si,-,valore obbligatorio per generatori dove il combustibile è gpl o metano ed EVACUAZIONE_FUMI = Naturale,OK,
48,40,dispositivi_comando_regolazione_funzionanti,regulation_command_devices_working,INTEGER,NO,SI=3 4=NO  9=NC,APPLICARE LA CODIFICA IN ANALOGIA A QUANTO VISTO PER APERTURE_VENTILAZIONE_AREAZIONE_LIBERE,OK,
49,41,dispositivi_sicurezza_non_manomessi_cortocircuitati,security_devices_not_tampered_shorted,INTEGER,NO,SI=3 4=NO  9=NC,APPLICARE LA CODIFICA IN ANALOGIA A QUANTO VISTO PER APERTURE_VENTILAZIONE_AREAZIONE_LIBERE,OK,
50,42,valvola_sicurezza,safety_valve,INTEGER,NO,SI=3 4=NO  9=NC,APPLICARE LA CODIFICA IN ANALOGIA A QUANTO VISTO PER APERTURE_VENTILAZIONE_AREAZIONE_LIBERE,OK,
51,43,controllo_pulizia_scambiatore,exchanger_cleaning_check,INTEGER,NO,SI=3 4=NO  9=NC,APPLICARE LA CODIFICA IN ANALOGIA A QUANTO VISTO PER APERTURE_VENTILAZIONE_AREAZIONE_LIBERE,OK,
52,44,presenza_riflussi,presence_ebbs,INTEGER,NO,SI=3 4=NO  9=NC,APPLICARE LA CODIFICA IN ANALOGIA A QUANTO VISTO PER APERTURE_VENTILAZIONE_AREAZIONE_LIBERE,OK,
53,45,risultati_uni_10389,results_uni_10389,INTEGER,NO,SI=3 4=NO  9=NC,APPLICARE LA CODIFICA IN ANALOGIA A QUANTO VISTO PER APERTURE_VENTILAZIONE_AREAZIONE_LIBERE,OK,
54,47,temperatura_fumi,smoke_temperature,double precision,no,-,SEPARATORE DECIMALE PUNTO,OK,
55,48,temperatura_aria_comburente,combustion_air_temperature,double precision,no,-,SEPARATORE DECIMALE PUNTO,OK,
56,49,o2,o2,double precision,no,-,SEPARATORE DECIMALE PUNTO,OK,
57,50,co2,co2,double precision,no,-,SEPARATORE DECIMALE PUNTO,OK,
58,51,bacharac,bacharac,character varying(10),si,N N N,Obbligatorio solo per combustibile= Gasolio. riportare le tre misurazione separate da uno spazio (esempio: 1 2 1),OK,
59,52,co,co,double precision,no,-,SEPARATORE DECIMALE PUNTO,OK,
60,53,rendimento_combustione,combustion_efficiency,double precision,no,-,SEPARATORE DECIMALE PUNTO,OK,
61,54,rendimento_minimo_legge,minimum_performance_law,double precision,si,-,SEPARATORE DECIMALE PUNTO,OK,
62,55,adozione_valvole_termostatiche,adoption_thermostatic_valves,character varying(4),si,SI,Assume valore si solo se la casella è smarcata sulla copia cartacea,OK,
63,56,isolamento_rete_distribuzione,distribution_network_isolation,character varying(4),si,SI,Assume valore si solo se la casella è smarcata sulla copia cartacea,OK,
64,57,sistema_trattamento_acqua,water_treatment_system,character varying(4),si,SI,Assume valore si solo se la casella è smarcata sulla copia cartacea,OK,
65,58,sostituzione_ regolazione_ on/off,replacement_ regulation_ on/off,character varying(4),si,SI,Assume valore si solo se la casella è smarcata sulla copia cartacea,OK,
66,62,impianto_puo_funzionare_in_sicurezza,system_can_operate_in_safety,integer,no,21=SI  13=NO,"APPLICARE LA CODIFICA, ASSEGNANDO IL VALORE 21 PER impianto_puo_funzionare_in_sicurezza UGUALE A SI ED IL VALORE 13 QUANDO È UGUALE A NO",OK,
67,63,manutenzione_entro,maintenance_within ,date,si,-,FORMAT AAAA-MM-GG,OK,
