Taotluse reg.kpv,Elamisloa liik,Rändeliik,Kodakondsus,Sugu,Vanuserühm
2023-08-09 00:58:58.528553,Tähtajaline elamisluba,Pereränne,Senegal,M, 45-49
2017-01-18 08:34:54.435372,Tähtajalise elamisloa pikendamine,Pereränne,Argentina,M, 5-9
2025-06-01 23:59:59.999986,Tähtajalise elamisloa pikendamine,Õppimine,Egiptus,M, 10-14
2015-02-01 14:05:20.598985,Tähtajalise elamisloa pikendamine,Pereränne,Egiptus,N, 15-19
2019-01-29 00:19:31.032014,Tähtajaline elamisluba,Püsivalt Eestisse elama asumine,Nigeeria,M, 20-24
2024-06-21 00:46:47.634455,Tähtajaline elamisluba,Välisleping,Jaapan,N, 0-4
2015-01-09 00:00:00.000000,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Senegal,M, 80-84
2025-05-17 13:40:08.190618,Tähtajaline elamisluba,Õppimine,Hiina,N, 5-9
2023-04-10 19:25:50.958469,Tähtajalise elamisloa pikendamine,Õppimine,Kanada,N, 45-49
2016-01-03 23:45:33.529259,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Egiptus,N, 20-24
2018-07-31 01:16:00.548044,Tähtajalise elamisloa pikendamine,Ettevõtlus,Määratlemata kodakondsus,M, 50-54
2024-09-05 16:59:18.764210,Tähtajaline elamisluba,Ettevõtlus,Senegal,M, 5-9
2025-06-01 23:59:59.999784,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Hiina,N, 55-59
2019-02-12 18:37:32.216448,Tähtajalise elamisloa pikendamine,Õppimine,Usbekistan,N, 55-59
2015-10-13 06:22:09.059284,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Tšiili,N, 85+
2025-06-01 23:59:59.999747,Tähtajaline elamisluba,Töötamine,Gruusia,M, 45-49
2021-06-30 12:33:29.921441,Tähtajaline elamisluba,Töötamine,Argentina,M, 40-44
2018-08-27 02:09:57.169740,Tähtajalise elamisloa pikendamine,Välisleping,Egiptus,M, 10-14
2018-02-12 12:37:21.986137,Tähtajaline elamisluba,Ettevõtlus,Filipiinid,N, 20-24
2025-03-08 08:04:44.981798,Tähtajaline elamisluba,Pereränne,Egiptus,M, 85+
2023-07-15 19:02:31.516100,Tähtajaline elamisluba,Legaalne sissetulek,Sri Lanka,M, 75-79
2021-10-23 13:42:44.623803,Tähtajaline elamisluba,Välisleping,Tadžikistan,N, 40-44
2019-01-09 06:36:16.652306,Tähtajalise elamisloa pikendamine,Pereränne,India,M, 45-49
2024-11-15 03:48:06.828768,Tähtajaline elamisluba,Legaalne sissetulek,Austraalia,N, 0-4
2025-06-01 23:59:59.396493,Tähtajalise elamisloa pikendamine,Õppimine,Vietnam,N, 80-84
2015-11-29 14:04:04.278107,Tähtajaline elamisluba,Pereränne,Albaania,N, 0-4
2020-07-29 13:07:29.823641,Tähtajaline elamisluba,Õppimine,Valgevene,N, 55-59
2025-02-02 00:26:58.732753,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Nepal,M, 85+
2024-02-05 07:46:34.091818,Tähtajalise elamisloa pikendamine,Pereränne,Usbekistan,N, 40-44
2017-01-22 18:21:51.811259,Tähtajaline elamisluba,Välisleping,India,N, 40-44
2022-05-13 01:26:27.654340,Tähtajaline elamisluba,Ettevõtlus,Malaisia,N, 75-79
2021-12-28 09:00:08.193916,Tähtajaline elamisluba,Pereränne,Albaania,M, 60-64
2015-09-26 19:04:50.995281,Tähtajaline elamisluba,Ettevõtlus,Korea Vabariik,M, 35-39
2020-07-16 02:30:47.848595,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Gruusia,M, 15-19
2016-09-12 19:57:24.115914,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Iisrael,M, 35-39
2025-05-05 13:35:27.640650,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Colombia,N, 40-44
2022-11-28 08:40:31.485759,Tähtajaline elamisluba,Õppimine,Nepal,M, 75-79
2022-07-15 15:23:39.082197,Tähtajalise elamisloa pikendamine,Õppimine,Filipiinid,N, 60-64
2025-06-01 23:56:44.121059,Tähtajalise elamisloa pikendamine,Töötamine,Vietnam,N, 55-59
2024-12-30 06:44:35.073157,Tähtajalise elamisloa pikendamine,Legaalne sissetulek,Libeeria,N, 15-19
2020-06-19 12:57:49.322194,Tähtajalise elamisloa pikendamine,Pereränne,Filipiinid,N, 55-59
2015-03-02 09:11:55.101486,Tähtajalise elamisloa pikendamine,Püsivalt Eestisse elama asumine,Filipiinid,N, 30-34
